# Client: PowClient
# Tasks: 10000
# Format: task_input | result

pow(3.395576, -0.054698) = 0.935320
pow(3.317239, -2.703556) = 0.039089
pow(-4.040282, -1.855096) = -nan
pow(0.157428, -2.690791) = 144.704543
pow(-3.646351, 1.681315) = -nan
pow(2.771799, 1.085390) = 3.023914
pow(-2.339449, -0.655442) = -nan
pow(1.098924, 0.106813) = 1.010127
pow(1.239013, -1.397720) = 0.741150
pow(-0.174649, -0.083639) = -nan
pow(-2.124652, -2.896620) = -nan
pow(4.547131, 1.282434) = 6.974371
pow(4.884947, -0.935396) = 0.226800
pow(2.389052, 0.446464) = 1.475245
pow(1.021605, 1.478769) = 1.032114
pow(-0.933937, -1.853532) = -nan
pow(4.524982, 2.632095) = 53.167476
pow(3.329929, 2.034766) = 11.562000
pow(-0.035094, -2.327848) = -nan
pow(-0.196927, -1.838190) = -nan
pow(-0.612527, -0.520630) = -nan
pow(-3.672877, -0.852215) = -nan
pow(0.402783, 1.598697) = 0.233684
pow(-0.632670, -1.184109) = -nan
pow(1.338545, 1.288769) = 1.456131
pow(-2.576910, -2.954945) = -nan
pow(-3.307870, 0.249098) = -nan
pow(4.554256, 0.587546) = 2.436973
pow(-0.074649, 1.303249) = -nan
pow(3.424856, 0.480401) = 1.806519
pow(-4.960154, 2.410585) = -nan
pow(-0.857207, -0.058405) = -nan
pow(4.773061, 2.875780) = 89.551111
pow(-2.508813, 1.337972) = -nan
pow(-2.006459, 0.546561) = -nan
pow(-1.815596, -0.972896) = -nan
pow(-4.924587, 0.596962) = -nan
pow(-2.940848, -0.060763) = -nan
pow(-3.971084, -1.630157) = -nan
pow(-0.107854, -2.132363) = -nan
pow(-1.648251, -1.172025) = -nan
pow(-1.722587, 1.277215) = -nan
pow(-2.462432, -1.777319) = -nan
pow(2.749441, -1.394433) = 0.244064
pow(-0.206307, 2.662617) = -nan
pow(4.880615, -0.622457) = 0.372782
pow(-3.341774, 1.168907) = -nan
pow(-3.176103, -0.328401) = -nan
pow(3.980470, 0.453759) = 1.871653
pow(2.062210, 0.575133) = 1.516293
pow(-4.112604, -1.566668) = -nan
pow(-2.725676, 2.219463) = -nan
pow(1.214602, -0.813531) = 0.853710
pow(-2.151980, 2.767426) = -nan
pow(-3.192496, -0.173702) = -nan
pow(1.792768, -0.980797) = 0.564085
pow(0.162750, 2.924017) = 0.004949
pow(-0.769770, 2.463039) = -nan
pow(1.609361, 1.633929) = 2.175991
pow(-3.109501, -2.492495) = -nan
pow(3.042148, -2.322797) = 0.075452
pow(2.542996, -1.015760) = 0.387495
pow(-2.396813, -1.627890) = -nan
pow(3.692905, -2.817154) = 0.025214
pow(2.423006, -2.036003) = 0.164988
pow(2.591451, 0.832833) = 2.210102
pow(-1.504828, 1.960838) = -nan
pow(3.206825, 0.027348) = 1.032381
pow(1.888996, -2.615203) = 0.189496
pow(3.520343, 1.882058) = 10.683279
pow(-1.815104, -1.761839) = -nan
pow(-3.823224, 1.692641) = -nan
pow(4.570209, 2.872490) = 78.642878
pow(0.520977, -2.475503) = 5.023622
pow(0.978904, -2.706905) = 1.059413
pow(4.304508, 1.060828) = 4.704177
pow(0.134878, 0.893427) = 0.166981
pow(-1.185896, 1.575742) = -nan
pow(2.544316, 0.664219) = 1.859465
pow(-0.795170, -0.665996) = -nan
pow(3.782324, -1.109152) = 0.228654
pow(3.872586, -0.448704) = 0.544705
pow(-0.405102, -2.060134) = -nan
pow(-2.003021, -1.112304) = -nan
pow(4.329285, 2.951136) = 75.535354
pow(-3.176282, -2.761518) = -nan
pow(-3.451707, -1.663647) = -nan
pow(4.746575, -2.352680) = 0.025627
pow(3.637989, 0.702661) = 2.477967
pow(2.639095, -1.229651) = 0.303220
pow(1.714361, 1.586358) = 2.351636
pow(4.333564, -1.098027) = 0.199860
pow(2.360377, -0.219043) = 0.828517
pow(4.938242, 2.879077) = 99.276936
pow(4.743597, 1.832852) = 17.346254
pow(-0.342425, -2.059897) = -nan
pow(2.654380, -1.116838) = 0.336126
pow(4.536939, 0.277682) = 1.521848
pow(1.576126, 1.240276) = 1.758195
pow(1.614102, 1.492055) = 2.042888
pow(-3.521529, 0.018058) = -nan
pow(-3.688453, -0.053137) = -nan
pow(2.780009, -1.704173) = 0.175093
pow(-4.947042, 2.546879) = -nan
pow(-3.631308, 1.474036) = -nan
pow(-1.811312, 1.162382) = -nan
pow(-4.922990, -2.018251) = -nan
pow(1.784621, 2.892701) = 5.341306
pow(2.885644, -2.711961) = 0.056473
pow(-4.347806, 0.226092) = -nan
pow(-2.330814, 1.801138) = -nan
pow(-2.285576, 2.878822) = -nan
pow(1.740096, -2.277751) = 0.283162
pow(3.581139, 0.603776) = 2.160254
pow(2.376733, 0.390100) = 1.401748
pow(-4.681643, -2.820571) = -nan
pow(3.900441, 1.860598) = 12.584181
pow(1.130227, 1.591479) = 1.215100
pow(1.770510, -2.821418) = 0.199531
pow(-0.666494, 0.092326) = -nan
pow(3.287899, 2.014402) = 10.997181
pow(2.782917, 2.506378) = 13.004259
pow(-1.487796, -2.766145) = -nan
pow(4.818572, -2.682241) = 0.014732
pow(2.261987, -0.875818) = 0.489251
pow(-0.475981, 0.609073) = -nan
pow(1.936805, -0.827600) = 0.578639
pow(-0.944308, -1.511192) = -nan
pow(-3.741883, -2.293022) = -nan
pow(3.167492, -1.478937) = 0.181750
pow(4.679018, 2.767091) = 71.512042
pow(-3.580039, -1.975575) = -nan
pow(-3.743080, 0.617584) = -nan
pow(-3.367303, -1.629733) = -nan
pow(1.827207, -0.066982) = 0.960428
pow(4.158389, 2.198170) = 22.935191
pow(1.922474, -0.026813) = 0.982627
pow(0.984408, 1.042478) = 0.983751
pow(4.891745, -0.978511) = 0.211520
pow(-1.625062, 0.520943) = -nan
pow(-0.301047, 1.955363) = -nan
pow(-0.243934, 1.356895) = -nan
pow(-2.062088, -2.697898) = -nan
pow(-1.783726, 1.845127) = -nan
pow(-3.920890, -2.379603) = -nan
pow(0.355577, 1.256178) = 0.272830
pow(-3.567864, -2.617443) = -nan
pow(-3.943965, -2.145275) = -nan
pow(4.913418, 1.835155) = 18.569334
pow(3.256295, 1.995452) = 10.546677
pow(3.036867, 0.207019) = 1.258552
pow(4.918781, -0.047166) = 0.927615
pow(2.209826, 2.082589) = 5.213822
pow(0.371999, -1.124246) = 3.039602
pow(-4.838640, 0.571125) = -nan
pow(-4.339171, -1.918100) = -nan
pow(1.632244, -2.164809) = 0.346227
pow(4.085831, 2.176655) = 21.406547
pow(-2.582465, 2.751707) = -nan
pow(1.437867, -1.300581) = 0.623554
pow(3.465016, 1.415902) = 5.809917
pow(2.714997, 0.933027) = 2.539327
pow(-2.835738, -2.727165) = -nan
pow(0.831030, 0.217941) = 0.960464
pow(-1.770958, 2.536804) = -nan
pow(-4.491725, 2.002315) = -nan
pow(2.402057, 2.704961) = 10.701954
pow(-0.748015, 2.192353) = -nan
pow(0.267776, -0.074219) = 1.102733
pow(-3.465677, 2.626684) = -nan
pow(-0.519083, -2.682240) = -nan
pow(3.835230, 0.510113) = 1.985178
pow(-4.752860, -2.302755) = -nan
pow(2.528325, 0.733771) = 1.975090
pow(4.845652, 2.180738) = 31.230121
pow(-2.585763, -0.063733) = -nan
pow(-0.743267, -0.854555) = -nan
pow(0.602201, -0.092540) = 1.048052
pow(3.096845, 0.070063) = 1.082419
pow(1.251820, 2.226852) = 1.648964
pow(2.975927, 1.806680) = 7.172721
pow(4.923129, 2.957261) = 111.464878
pow(2.639246, -0.830141) = 0.446799
pow(-4.722373, -1.267985) = -nan
pow(4.525570, -2.026916) = 0.046882
pow(-3.307108, 0.031072) = -nan
pow(-4.292633, 0.207598) = -nan
pow(3.254523, -2.857420) = 0.034325
pow(-0.896938, -1.182444) = -nan
pow(1.483707, -0.096022) = 0.962824
pow(-3.808906, 2.428693) = -nan
pow(2.928078, -2.532885) = 0.065796
pow(2.665053, 2.423592) = 10.758141
pow(2.984432, 0.883526) = 2.627560
pow(-1.354096, 2.841261) = -nan
pow(1.375199, -0.798436) = 0.775397
pow(2.076311, 2.376204) = 5.674815
pow(2.361555, 0.596414) = 1.669477
pow(-1.144446, -1.994458) = -nan
pow(-2.107984, -2.177861) = -nan
pow(-4.257108, 2.354493) = -nan
pow(-1.347861, -2.506289) = -nan
pow(-0.776157, -0.465531) = -nan
pow(-3.495616, -2.780387) = -nan
pow(-0.169124, 1.460978) = -nan
pow(3.594277, 1.154444) = 4.379478
pow(1.611033, -0.120423) = 0.944191
pow(-3.045721, 2.332473) = -nan
pow(4.795076, -0.317237) = 0.608172
pow(0.042715, 0.056401) = 0.837072
pow(-1.625929, -0.514662) = -nan
pow(-2.105927, 1.339012) = -nan
pow(-1.421674, 0.293799) = -nan
pow(-3.817186, -1.628112) = -nan
pow(-1.676579, -0.511717) = -nan
pow(-3.883628, -0.308752) = -nan
pow(-0.908095, -2.812999) = -nan
pow(-2.180648, 1.578658) = -nan
pow(-2.780122, 1.423786) = -nan
pow(-3.684208, 2.372368) = -nan
pow(-1.180601, 2.893819) = -nan
pow(2.590451, -1.796398) = 0.180890
pow(2.924475, -1.908149) = 0.129036
pow(-4.671648, -2.505333) = -nan
pow(-3.112781, 2.634454) = -nan
pow(0.225913, 1.922229) = 0.057297
pow(-3.147780, 1.463128) = -nan
pow(1.464233, 2.344276) = 2.444759
pow(4.322106, -1.695981) = 0.083536
pow(-3.891636, -2.227316) = -nan
pow(-1.187348, 2.992467) = -nan
pow(-1.160247, -2.074764) = -nan
pow(-3.318051, 2.621960) = -nan
pow(2.893962, 1.100451) = 3.219959
pow(0.501096, -1.864335) = 3.626171
pow(-1.626281, -2.900964) = -nan
pow(2.644557, -2.289060) = 0.107947
pow(-2.257416, -1.686487) = -nan
pow(3.064773, -2.843312) = 0.041402
pow(2.721918, -2.195538) = 0.110972
pow(1.075060, -1.611445) = 0.889914
pow(-0.095606, -0.258110) = -nan
pow(0.388786, -1.119113) = 2.878459
pow(-1.353720, 0.121002) = -nan
pow(3.898665, -0.890806) = 0.297583
pow(2.324602, 2.894617) = 11.493155
pow(2.445842, -2.342509) = 0.123056
pow(-4.607770, 2.436159) = -nan
pow(4.164355, 1.841120) = 13.824894
pow(0.598106, 0.216082) = 0.894882
pow(-3.916577, 1.412059) = -nan
pow(-2.384153, -0.535386) = -nan
pow(1.411120, 0.895680) = 1.361324
pow(2.667649, 2.875198) = 16.795946
pow(3.553651, -1.021661) = 0.273777
pow(-0.505078, -1.689992) = -nan
pow(-4.358169, -2.935951) = -nan
pow(2.504197, 2.411815) = 9.151967
pow(-2.085685, 2.009054) = -nan
pow(-1.801242, 1.194566) = -nan
pow(-2.429380, -1.256592) = -nan
pow(3.725633, -1.099234) = 0.235569
pow(0.547703, 2.851525) = 0.179662
